week,alerts,above_ground_carbon_loss,cumulative_emissions,baseline_emissions,emissions_target,percent_to_emissions_target,area,cumulative_deforestation,deforestation_baseline,deforestation_target,percent_to_deforestation_target
1,39762,1.862559303,1.862559303,82,41.04496782,4.537850562,3056.285906,3056.00,201629.00,100815.00,3.03
2,191138,9.362745304,11.22530461,82,41.04496782,27.34879622,14695.89785,17752.00,201629.00,100815.00,17.61
3,171710,6.749543247,17.97484785,82,41.04496782,43.79306115,13199.11844,30951.00,201629.00,100815.00,30.70
4,7473,0.3113786412,18.2862265,82,41.04496782,44.5516892,574.4828333,31526.00,201629.00,100815.00,31.27
5,77997,3.584986949,21.87121344,82,41.04496782,53.28598025,5996.892744,37523.00,201629.00,100815.00,37.22
6,10588,0.5276494951,22.39886294,82,41.04496782,54.57152029,814.3303719,38337.00,201629.00,100815.00,38.03
7,5913,0.260270644,22.65913358,82,41.04496782,55.20563126,454.713646,38792.00,201629.00,100815.00,38.48
8,91905,4.034335657,26.69346924,82,41.04496782,65.03469404,7064.277662,45856.00,201629.00,100815.00,45.49
9,59412,2.705714114,29.39918335,82,41.04496782,71.62676673,4567.331474,50423.00,201629.00,100815.00,50.02
10,134812,5.732937281,35.13212064,82,41.04496782,85.59422142,10364.08538,60787.00,201629.00,100815.00,60.30
11,440991,17.58841229,52.72053293,82,41.04496782,128.4457894,33896.2741,94684.00,201629.00,100815.00,93.92
12,77901,3.189865412,55.91039834,82,41.04496782,136.2174252,5991.031082,100675.00,201629.00,100815.00,99.86
13,34169,1.423924735,57.33432308,82,41.04496782,139.6866075,2627.340004,103302.00,201629.00,100815.00,102.47
14,19436,0.9091662439,58.24348932,82,41.04496782,141.9016567,1494.317244,104796.00,201629.00,100815.00,103.95
15,34065,1.494840039,59.73832936,82,41.04496782,145.5436136,2619.573866,107416.00,201629.00,100815.00,106.55
16,29931,1.478047862,61.21637722,82,41.04496782,149.1446588,2301.195869,109717.00,201629.00,100815.00,108.83
17,24529,1.044721484,62.2610987,82,41.04496782,151.6899684,1885.633618,111603.00,201629.00,100815.00,110.70
18,592,0.0242914195,62.28539012,82,41.04496782,151.7491508,45.50165427,111648.00,201629.00,100815.00,110.75
19,,,,82,41.04496782,,,,201629.00,100815.00,
20,,,,82,41.04496782,,,,201629.00,100815.00,
21,,,,82,41.04496782,,,,201629.00,100815.00,
22,,,,82,41.04496782,,,,201629.00,100815.00,
23,,,,82,41.04496782,,,,201629.00,100815.00,
24,,,,82,41.04496782,,,,201629.00,100815.00,
25,,,,82,41.04496782,,,,201629.00,100815.00,
26,,,,82,41.04496782,,,,201629.00,100815.00,
27,,,,82,41.04496782,,,,201629.00,100815.00,
28,,,,82,41.04496782,,,,201629.00,100815.00,
29,,,,82,41.04496782,,,,201629.00,100815.00,
30,,,,82,41.04496782,,,,201629.00,100815.00,
31,,,,82,41.04496782,,,,201629.00,100815.00,
32,,,,82,41.04496782,,,,201629.00,100815.00,
33,,,,82,41.04496782,,,,201629.00,100815.00,
34,,,,82,41.04496782,,,,201629.00,100815.00,
35,,,,82,41.04496782,,,,201629.00,100815.00,
36,,,,82,41.04496782,,,,201629.00,100815.00,
37,,,,82,41.04496782,,,,201629.00,100815.00,
38,,,,82,41.04496782,,,,201629.00,100815.00,
39,,,,82,41.04496782,,,,201629.00,100815.00,
40,,,,82,41.04496782,,,,201629.00,100815.00,
41,,,,82,41.04496782,,,,201629.00,100815.00,
42,,,,82,41.04496782,,,,201629.00,100815.00,
43,,,,82,41.04496782,,,,201629.00,100815.00,
44,,,,82,41.04496782,,,,201629.00,100815.00,
45,,,,82,41.04496782,,,,201629.00,100815.00,
46,,,,82,41.04496782,,,,201629.00,100815.00,
47,,,,82,41.04496782,,,,201629.00,100815.00,
48,,,,82,41.04496782,,,,201629.00,100815.00,
49,,,,82,41.04496782,,,,201629.00,100815.00,
50,,,,82,41.04496782,,,,201629.00,100815.00,
51,,,,82,41.04496782,,,,201629.00,100815.00,
52,,,,82,41.04496782,,,,201629.00,100815.00,
